name,team,w,l,era,gs,g,sv,ip,h,er,hr,so,bb,whip,k/9,bb/9,fip,war,ra9-war,adp,playerid,so/bb,winpercentage,ranking
Craig Kimbrel,Red Sox,4.0,2.0,2.6,0.0,65.0,33.0,65.0,42.0,19.0,6.0,101.0,24.0,1.02,13.96,3.32,2.45,1.5,1.7,45.6,6655,4.208333333333333,2.0,588
Kenley Jansen,Dodgers,4.0,2.0,2.75,0.0,65.0,38.0,65.0,46.0,20.0,7.0,91.0,15.0,0.95,12.59,2.1,2.6,1.4,1.3,38.5,3096,6.066666666666666,2.0,509
Andrew Miller,Indians,4.0,2.0,2.7,0.0,65.0,13.0,65.0,47.0,19.0,6.0,91.0,21.0,1.04,12.66,2.88,2.66,1.4,1.5,204.3,6785,4.333333333333333,2.0,547
Clayton Kershaw,Dodgers,16.0,8.0,2.76,32.0,32.0,0.0,209.0,174.0,64.0,21.0,240.0,39.0,1.02,10.34,1.68,2.81,6.3,6.2,6.3,2036,6.153846153846154,2.0,475
Noah Syndergaard,Mets,13.0,9.0,3.13,31.0,31.0,0.0,182.0,153.0,63.0,18.0,220.0,46.0,1.09,10.84,2.27,2.88,5.4,4.3,34.5,11762,4.782608695652174,1.4444444444444444,490
Dellin Betances,Yankees,3.0,2.0,2.93,0.0,55.0,2.0,55.0,37.0,18.0,5.0,82.0,26.0,1.15,13.37,4.3,2.93,1.1,1.0,278.1,6216,3.1538461538461537,1.5,762
Aroldis Chapman,Yankees,4.0,2.0,2.83,0.0,65.0,29.0,65.0,45.0,20.0,7.0,95.0,27.0,1.11,13.19,3.78,2.93,1.3,1.4,62.6,10233,3.5185185185185186,2.0,668
Felipe Rivero,Pirates,4.0,3.0,2.91,0.0,65.0,31.0,65.0,52.0,21.0,5.0,80.0,23.0,1.16,11.12,3.23,2.98,1.1,1.2,95.0,12076,3.4782608695652173,1.3333333333333333,595
Chris Sale,Red Sox,15.0,7.0,3.18,29.0,29.0,0.0,192.0,156.0,68.0,23.0,242.0,42.0,1.03,11.34,1.98,3.03,5.4,5.6,12.3,10603,5.761904761904762,2.142857142857143,475
Ken Giles,Astros,4.0,3.0,3.2,0.0,65.0,33.0,65.0,50.0,23.0,7.0,86.0,24.0,1.15,11.97,3.36,3.1,1.1,1.0,94.0,12910,3.5833333333333335,1.3333333333333333,608
Corey Knebel,Brewers,3.0,3.0,3.21,0.0,65.0,30.0,65.0,48.0,23.0,7.0,93.0,29.0,1.19,12.93,4.08,3.11,1.1,1.1,61.1,15010,3.206896551724138,1.0,759
Trevor Rosenthal,Cardinals,0.0,0.0,3.1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.22,11.76,4.08,3.16,0.0,0.1,615.1,10745,0,0,1157
